City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Macquarie,AU,66.88,clear sky,-31.4333,152.9167,Rydges Port Macquarie
1,Bunol,ES,64.9,overcast clouds,39.4167,-0.7833,HOTEL CONDES DE BUÑOL
4,Busselton,AU,58.51,clear sky,-33.65,115.3333,Observatory Guest House
5,Juan Lacaze,UY,42.12,scattered clouds,-34.4342,-57.4381,El templo de Papal
6,Bhatkal,IN,81.95,overcast clouds,13.9667,74.5667,Nilawar Palace
7,Castro,BR,58.69,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
8,Ushuaia,AR,42.46,light rain,-54.8,-68.3,Albatross Hotel
10,Rikitea,PF,74.14,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Mataura,NZ,65.48,clear sky,-46.1927,168.8643,Ellie's Villa
12,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
14,Tuatapere,NZ,61.86,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
15,Nantucket,US,70.14,clear sky,41.2835,-70.0995,Jared Coffin House
16,Tasiilaq,GL,28.56,few clouds,65.6145,-37.6368,The Red House
17,Faanui,PF,80.29,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
18,Jamestown,US,71.19,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Kodiak,US,47.71,mist,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
20,San Quintin,MX,63.03,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
21,Clyde River,CA,23.23,clear sky,70.4692,-68.5914,Qamaq Hotel
22,Skeldon,GY,75.34,broken clouds,5.8833,-57.1333,Classic International Hotel & Suites
23,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
24,Haukipudas,FI,54.14,overcast clouds,65.1765,25.3523,Hotel Samantta
25,Bud,US,84.15,clear sky,39.447,-86.1758,Ted McQuinn Trust
26,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
27,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Palmares Do Sul,BR,50.54,few clouds,-30.2578,-50.5097,Hotel Campos Dourados.
29,Guerrero Negro,MX,62.17,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
30,Abalak,RU,50.41,moderate rain,58.1286,68.5944,Туристический комплекс Абалак
31,Thurso,GB,44.85,broken clouds,58.5927,-3.5259,Weigh Inn Hotel
32,Barrow,US,30.22,overcast clouds,71.2906,-156.7887,King Eider Inn
33,Bethel,US,75.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
34,Hobart,AU,48.25,moderate rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
35,Hasaki,JP,68.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
36,Mar Del Plata,AR,43.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
37,Ayan,RU,36.37,overcast clouds,56.45,138.1667,Gostinitsa
38,Punta Arenas,CL,41.11,clear sky,-53.15,-70.9167,Hotel Hain
39,Mandalgovi,MN,57.11,clear sky,45.7625,106.2708,В.Ганбат
40,Cape Town,ZA,54.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
41,Qaanaaq,GL,20.37,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
42,Geraldton,AU,59.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
43,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
44,Petatlan,MX,85.8,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
46,Hami,CN,87.33,clear sky,42.8,93.45,Laoyutang Resort
47,Barcelos,PT,63.84,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
48,Baicheng,CN,65.5,overcast clouds,45.6167,122.8167,Baicheng Didiao Inn
49,Tabou,CI,77.41,light rain,4.423,-7.3528,hotêl doufoulougou
50,Sibolga,ID,82.96,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
53,Fairbanks,US,76.6,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
54,Bluff,NZ,65.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
55,Mehamn,NO,42.71,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
56,Hermanus,ZA,55.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
57,East London,ZA,58.17,overcast clouds,-33.0153,27.9116,Tu Casa
59,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
60,Yellowknife,CA,55.92,few clouds,62.456,-114.3525,The Explorer Hotel
62,Ilulissat,GL,35.62,broken clouds,69.2167,-51.1,Hotel Arctic
63,Asau,RO,58.95,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
64,Hithadhoo,MV,83.57,overcast clouds,-0.6,73.0833,Scoop Guest House
65,Butaritari,KI,81.57,few clouds,3.0707,172.7902,Isles Sunset Lodge
66,Kannauj,IN,97.0,clear sky,27.0546,79.922,Hotel M L Palace
68,Kamaishi,JP,54.05,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
69,Ponta Delgada,PT,58.5,light intensity shower rain,37.7333,-25.6667,Vila Nova Hotel
70,Xinxiang,CN,92.05,overcast clouds,35.3089,113.8672,Guoyu Holiday Inn
71,Brae,GB,46.56,broken clouds,60.3964,-1.353,Busta House Hotel
72,Bhadrachalam,IN,90.1,broken clouds,17.6667,80.8833,Hotel Srinidhi Residency
73,Bredasdorp,ZA,51.46,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
74,Beyneu,KZ,77.14,clear sky,45.3167,55.2,NUR
75,Hilo,US,86.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
76,Mosquera,CO,57.29,scattered clouds,4.7059,-74.2302,Hotel SJ
77,Sur,OM,86.27,clear sky,22.5667,59.5289,Sur Plaza Hotel
79,Khatanga,RU,37.87,broken clouds,71.9667,102.5,"""Khatanga"""
81,Petropavlovsk-Kamchatskiy,RU,52.39,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
82,Pandan,PH,82.94,moderate rain,14.0453,124.1694,Bonifacio Lodge
84,Colac,AU,42.84,moderate rain,-38.3333,143.5833,Otway Gate Motel
85,Alice Springs,AU,54.95,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
86,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
87,Lagoa,PT,59.29,overcast clouds,39.05,-27.9833,Casa Das Faias
89,Termini Imerese,IT,76.19,clear sky,37.9837,13.6956,Hotel Piccolo
92,Rabat,MA,65.05,clear sky,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
93,Kharan,PK,80.13,clear sky,28.5833,65.4167,Dil Aram Bangla
94,Yulara,AU,58.12,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
95,Sao Joao Da Barra,BR,73.13,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
96,Sorland,NO,49.86,scattered clouds,67.667,12.6934,Sjybrygga fiskecamp
97,Carnarvon,AU,64.26,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
