City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Macquarie,AU,-31.4333,152.9167,66.88,45,0,14.58,clear sky
1,Bunol,ES,39.4167,-0.7833,64.9,50,100,5.95,overcast clouds
2,Albany,US,42.6001,-73.9662,75.88,72,100,4.65,overcast clouds
3,Araouane,ML,18.9048,-3.5265,94.69,14,56,15.35,broken clouds
4,Busselton,AU,-33.65,115.3333,58.51,67,1,8.01,clear sky
5,Juan Lacaze,UY,-34.4342,-57.4381,42.12,57,35,9.55,scattered clouds
6,Bhatkal,IN,13.9667,74.5667,81.95,78,95,5.61,overcast clouds
7,Castro,BR,-24.7911,-50.0119,58.69,97,100,4.74,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,42.46,81,75,25.32,light rain
9,Gari,RU,59.4307,62.3497,48.45,93,100,8.84,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,74.14,78,88,11.74,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,65.48,67,4,3.42,clear sky
12,Saint-Philippe,RE,-21.3585,55.7679,69.39,69,36,12.33,scattered clouds
13,Saint-Joseph,RE,-21.3667,55.6167,68.38,69,15,12.66,few clouds
14,Tuatapere,NZ,-46.1333,167.6833,61.86,65,19,7.18,few clouds
15,Nantucket,US,41.2835,-70.0995,70.14,84,0,13.8,clear sky
16,Tasiilaq,GL,65.6145,-37.6368,28.56,92,20,4.07,few clouds
17,Faanui,PF,-16.4833,-151.75,80.29,70,93,10.25,overcast clouds
18,Jamestown,US,42.097,-79.2353,71.19,48,79,4.99,broken clouds
19,Kodiak,US,57.79,-152.4072,47.71,87,100,9.22,mist
20,San Quintin,MX,30.4833,-115.95,63.03,78,1,14.56,clear sky
21,Clyde River,CA,70.4692,-68.5914,23.23,93,0,6.91,clear sky
22,Skeldon,GY,5.8833,-57.1333,75.34,92,56,4.94,broken clouds
23,Kahului,US,20.8947,-156.47,82.42,67,40,26.46,scattered clouds
24,Haukipudas,FI,65.1765,25.3523,54.14,82,100,9.22,overcast clouds
25,Bud,US,39.447,-86.1758,84.15,86,6,7.36,clear sky
26,Cabo San Lucas,MX,22.8909,-109.9124,84.61,54,0,19.57,clear sky
27,Kapaa,US,22.0752,-159.319,82.38,69,20,10.36,few clouds
28,Palmares Do Sul,BR,-30.2578,-50.5097,50.54,63,12,11.34,few clouds
29,Guerrero Negro,MX,27.9769,-114.0611,62.17,77,3,20.09,clear sky
30,Abalak,RU,58.1286,68.5944,50.41,97,100,5.86,moderate rain
31,Thurso,GB,58.5927,-3.5259,44.85,86,58,3.36,broken clouds
32,Barrow,US,71.2906,-156.7887,30.22,80,100,6.91,overcast clouds
33,Bethel,US,41.3712,-73.414,75.36,74,0,3.44,clear sky
34,Hobart,AU,-42.8794,147.3294,48.25,84,0,8.05,moderate rain
35,Hasaki,JP,35.7333,140.8333,68.4,85,100,14.32,overcast clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,43.09,65,0,5.75,clear sky
37,Ayan,RU,56.45,138.1667,36.37,91,100,15.08,overcast clouds
38,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,16.11,clear sky
39,Mandalgovi,MN,45.7625,106.2708,57.11,29,2,12.71,clear sky
40,Cape Town,ZA,-33.9258,18.4232,54.12,87,20,10.36,few clouds
41,Qaanaaq,GL,77.484,-69.3632,20.37,85,98,4.61,overcast clouds
42,Geraldton,AU,-28.7667,114.6,59.41,58,100,18.41,overcast clouds
43,Vaini,TO,-21.2,-175.2,80.76,83,20,9.22,few clouds
44,Petatlan,MX,17.5167,-101.2667,85.8,75,89,4.0,overcast clouds
45,Teya,RU,60.3778,92.6267,50.45,69,33,13.2,light rain
46,Hami,CN,42.8,93.45,87.33,15,3,5.79,clear sky
47,Barcelos,PT,41.5388,-8.6151,63.84,81,97,3.22,overcast clouds
48,Baicheng,CN,45.6167,122.8167,65.5,29,100,7.07,overcast clouds
49,Tabou,CI,4.423,-7.3528,77.41,86,78,6.42,light rain
50,Sibolga,ID,1.7427,98.7792,82.96,69,97,0.29,overcast clouds
51,Poum,NC,-20.2333,164.0167,77.86,84,99,12.21,overcast clouds
52,Chokurdakh,RU,70.6333,147.9167,48.49,56,100,10.69,overcast clouds
53,Fairbanks,US,64.8378,-147.7164,76.6,26,0,16.11,clear sky
54,Bluff,NZ,-46.6,168.3333,65.8,71,2,10.16,clear sky
55,Mehamn,NO,71.0357,27.8492,42.71,61,2,6.46,clear sky
56,Hermanus,ZA,-34.4187,19.2345,55.8,79,1,10.45,clear sky
57,East London,ZA,-33.0153,27.9116,58.17,56,95,17.34,overcast clouds
58,Birao,CF,10.2849,22.7882,77.81,59,81,4.61,broken clouds
59,Acapulco,MX,16.8634,-99.8901,82.22,74,100,10.36,overcast clouds
60,Yellowknife,CA,62.456,-114.3525,55.92,33,20,9.22,few clouds
61,Airai,TL,-8.9266,125.4092,75.51,52,74,2.04,broken clouds
62,Ilulissat,GL,69.2167,-51.1,35.62,80,75,11.5,broken clouds
63,Asau,RO,46.4333,26.4,58.95,89,30,3.91,scattered clouds
64,Hithadhoo,MV,-0.6,73.0833,83.57,69,87,11.77,overcast clouds
65,Butaritari,KI,3.0707,172.7902,81.57,73,18,13.11,few clouds
66,Kannauj,IN,27.0546,79.922,97.0,18,0,4.47,clear sky
67,Sukhobezvodnoye,RU,57.0491,44.8891,50.32,84,100,2.35,overcast clouds
68,Kamaishi,JP,39.2667,141.8833,54.05,92,100,3.42,overcast clouds
69,Ponta Delgada,PT,37.7333,-25.6667,58.5,76,40,17.27,light intensity shower rain
70,Xinxiang,CN,35.3089,113.8672,92.05,10,99,12.08,overcast clouds
71,Brae,GB,60.3964,-1.353,46.56,90,59,8.7,broken clouds
72,Bhadrachalam,IN,17.6667,80.8833,90.1,45,62,1.32,broken clouds
73,Bredasdorp,ZA,-34.5322,20.0403,51.46,82,3,8.23,clear sky
74,Beyneu,KZ,45.3167,55.2,77.14,21,0,7.34,clear sky
75,Hilo,US,19.7297,-155.09,86.29,73,75,10.36,broken clouds
76,Mosquera,CO,4.7059,-74.2302,57.29,72,40,8.05,scattered clouds
77,Sur,OM,22.5667,59.5289,86.27,49,0,11.72,clear sky
78,Batagay-Alyta,RU,67.8006,130.4114,34.11,98,100,1.9,overcast clouds
79,Khatanga,RU,71.9667,102.5,37.87,66,73,7.94,broken clouds
80,Kokorevka,RU,52.5872,34.2778,57.6,99,100,5.73,overcast clouds
81,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,58,20,17.9,few clouds
82,Pandan,PH,14.0453,124.1694,82.94,73,95,2.24,moderate rain
83,Luderitz,NA,-26.6481,15.1594,58.26,42,0,11.23,clear sky
84,Colac,AU,-38.3333,143.5833,42.84,77,95,14.25,moderate rain
85,Alice Springs,AU,-23.7,133.8833,54.95,47,100,5.75,overcast clouds
86,Bambous Virieux,MU,-20.3428,57.7575,73.65,68,40,16.11,light rain
87,Lagoa,PT,39.05,-27.9833,59.29,74,100,12.8,overcast clouds
88,Wattegama,LK,6.7989,81.4808,77.31,81,100,7.29,overcast clouds
89,Termini Imerese,IT,37.9837,13.6956,76.19,78,3,6.11,clear sky
90,Mayahi,NE,13.9553,7.6712,83.01,12,0,8.14,clear sky
91,Dikson,RU,73.5069,80.5464,30.63,93,81,9.93,broken clouds
92,Rabat,MA,33.9911,-6.8401,65.05,95,5,3.44,clear sky
93,Kharan,PK,28.5833,65.4167,80.13,12,2,2.55,clear sky
94,Yulara,AU,-25.2406,130.9889,58.12,40,97,8.84,overcast clouds
95,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.13,93,55,10.09,broken clouds
96,Sorland,NO,67.667,12.6934,49.86,82,34,10.98,scattered clouds
97,Carnarvon,AU,-24.8667,113.6333,64.26,46,70,20.8,broken clouds
98,Tefe,BR,-3.3542,-64.7114,73.24,98,50,0.98,moderate rain
99,Campo De Criptana,ES,39.4046,-3.1249,57.52,60,87,0.83,overcast clouds
100,Narsaq,GL,60.9167,-46.05,43.02,82,100,4.65,overcast clouds
101,Cherskiy,RU,68.75,161.3,54.7,40,68,5.5,broken clouds
102,Meulaboh,ID,4.1363,96.1285,79.57,75,99,4.03,overcast clouds
103,Myre,NO,69.1036,15.9492,56.34,69,6,5.75,clear sky
104,Marawi,PH,7.9986,124.2928,75.24,66,100,3.02,overcast clouds
105,Komsomolskiy,UZ,40.4272,71.7189,59.72,63,0,2.3,clear sky
106,Souillac,MU,-20.5167,57.5167,73.78,68,40,16.11,light rain
107,Nikel,RU,69.4128,30.222,41.18,53,8,5.03,clear sky
108,Georgetown,MY,5.4112,100.3354,84.13,87,20,5.01,few clouds
109,Esperance,AU,-33.8667,121.9,57.96,71,100,10.74,overcast clouds
