City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,80.96,77,86,8.21,light rain
1,Rikitea,PF,-23.1203,-134.9692,76.82,80,76,24.61,light rain
2,Port Blair,IN,11.6667,92.75,82.22,80,100,10.8,overcast clouds
3,Binga,ZW,-17.6203,27.3414,68.25,49,4,5.1,clear sky
4,Hermanus,ZA,-34.4187,19.2345,59.05,85,52,4.36,broken clouds
5,New Norfolk,AU,-42.7826,147.0587,42.3,80,19,2.64,few clouds
6,Bredasdorp,ZA,-34.5322,20.0403,56.61,86,47,5.19,scattered clouds
7,San Cristobal,VE,7.7669,-72.225,78.98,37,90,9.53,overcast clouds
8,Mahebourg,MU,-20.4081,57.7,75.25,68,20,11.5,few clouds
9,Ushuaia,AR,-54.8,-68.3,35.26,87,75,10.36,broken clouds
10,Prince Albert,CA,53.2001,-105.7677,55.35,41,20,20.71,few clouds
11,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.82,70,12,5.39,few clouds
12,Southbridge,US,42.0751,-72.0334,65.62,79,100,1.99,overcast clouds
13,Coihaique,CL,-45.5752,-72.0662,27.21,93,40,0.0,mist
14,Hilo,US,19.7297,-155.09,77.29,81,100,6.91,overcast clouds
15,Gizo,SB,-8.103,156.8419,77.9,85,100,7.9,overcast clouds
16,Alice Springs,AU,-23.7,133.8833,53.15,100,100,8.05,overcast clouds
17,Mountain Home,US,43.133,-115.6912,53.08,76,0,10.36,clear sky
18,Kavieng,PG,-2.5744,150.7967,80.11,67,43,1.41,scattered clouds
19,Albany,US,42.6001,-73.9662,68.18,84,100,8.14,overcast clouds
20,Grindavik,IS,63.8424,-22.4338,52.27,82,75,3.44,broken clouds
21,Atuona,PF,-9.8,-139.0333,78.06,75,9,9.35,clear sky
22,Cape Town,ZA,-33.9258,18.4232,63.91,74,20,8.05,few clouds
23,Castro,BR,-24.7911,-50.0119,60.21,97,100,6.82,moderate rain
24,Alghero,IT,40.5589,8.3181,89.98,39,0,10.36,clear sky
25,Ambilobe,MG,-13.2,49.05,74.97,73,84,1.1,broken clouds
26,Kushima,JP,31.4583,131.2333,63.81,95,100,4.52,overcast clouds
