City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2022-05-26 17:00:12,55.7435,-97.8558,62.67,53,100,5.73
1,Kaitangata,NZ,2022-05-26 17:04:42,-46.2817,169.8464,37.85,91,5,4.65
2,Hilo,US,2022-05-26 17:03:34,19.7297,-155.09,82.27,84,0,6.91
3,Grand Gaube,MU,2022-05-26 17:04:43,-20.0064,57.6608,72.0,77,7,3.0
4,New Norfolk,AU,2022-05-26 17:04:43,-42.7826,147.0587,52.92,81,66,3.0
5,Abha,SA,2022-05-26 17:04:44,18.2164,42.5053,71.85,56,3,6.91
6,Sembe,CG,2022-05-26 17:04:44,1.6481,14.5806,72.3,96,87,3.06
7,Busselton,AU,2022-05-26 17:04:44,-33.65,115.3333,54.82,73,0,7.76
8,Mataura,NZ,2022-05-26 17:04:45,-46.1927,168.8643,33.48,97,3,1.59
9,Atuona,PF,2022-05-26 17:04:45,-9.8,-139.0333,77.94,76,12,17.43
10,Kruisfontein,ZA,2022-05-26 17:04:46,-34.0033,24.7314,58.89,92,49,5.46
11,Dingle,PH,2022-05-26 17:04:46,10.9995,122.6711,77.81,86,100,2.21
12,Ushuaia,AR,2022-05-26 17:00:06,-54.8,-68.3,36.09,79,93,19.13
13,Altay,CN,2022-05-26 17:04:46,47.8667,88.1167,65.93,69,94,2.57
14,Upernavik,GL,2022-05-26 17:04:47,72.7868,-56.1549,33.58,71,51,10.54
15,Clyde River,CA,2022-05-26 16:59:48,70.4692,-68.5914,21.43,63,20,12.66
16,Alyangula,AU,2022-05-26 17:04:47,-13.8483,136.4192,75.16,72,54,10.02
17,Karpathos,GR,2022-05-26 17:04:47,35.507,27.2132,75.16,69,0,13.8
18,Khatanga,RU,2022-05-26 17:04:48,71.9667,102.5,27.57,86,40,5.99
19,Faanui,PF,2022-05-26 17:04:48,-16.4833,-151.75,80.92,67,7,14.23
20,Chuy,UY,2022-05-26 17:04:49,-33.6971,-53.4616,58.84,66,96,9.44
21,East London,ZA,2022-05-26 17:00:33,-33.0153,27.9116,61.93,83,62,8.16
22,Empalme,MX,2022-05-26 17:04:49,27.9667,-110.8167,91.35,45,0,9.22
23,Kisangani,CD,2022-05-26 17:04:49,0.5167,25.2,76.6,79,85,1.79
24,Saint-Francois,FR,2022-05-26 16:59:50,46.4154,3.9054,70.68,52,75,9.22
25,Ishigaki,JP,2022-05-26 17:04:50,24.3448,124.1572,80.83,84,90,17.56
26,Polunochnoye,RU,2022-05-26 17:04:50,60.8697,60.4153,43.41,76,82,2.08
27,Qeshm,IR,2022-05-26 17:04:51,26.9581,56.2719,85.87,68,0,10.96
28,Punta Arenas,CL,2022-05-26 17:04:51,-53.15,-70.9167,42.91,65,0,19.57
29,Bobo Dioulasso,BF,2022-05-26 17:00:18,11.1771,-4.2979,92.37,36,44,6.55
30,Karlskoga,SE,2022-05-26 17:04:51,59.3267,14.5239,57.38,92,96,8.41
31,Rikitea,PF,2022-05-26 17:04:52,-23.1203,-134.9692,77.23,74,21,15.73
32,Vanimo,PG,2022-05-26 17:04:52,-2.6741,141.3028,76.8,86,83,2.35
33,Bluff,NZ,2022-05-26 17:04:52,-46.6,168.3333,33.8,84,10,5.88
34,Albany,US,2022-05-26 17:01:47,42.6001,-73.9662,71.89,49,100,3.0
35,Saint-Louis,SN,2022-05-26 17:04:53,16.3333,-15.0,98.17,22,58,12.97
36,Xichang,CN,2022-05-26 17:04:53,27.8964,102.2634,65.57,89,100,2.04
